Name,Price,PP
Abarth1500 Biposto Bertone B.A.T 1 '52 ,900000 (Legend Cars),PP 266.58
Alfa Romeo155 2.5 V6 TI '93 ,800000 (Legend Cars),PP 670.52
Nissan180SX Type X '96 ,58300 (Used Cars),PP 442.77
Mercedes-Benz190 E 2.5-16 Evolution II '91 ,0 (),PP 466.7
Honda2&4 powered by RC213V ,1000000 (Brand Central),PP 555.11
Toyota2000GT '67 ,685000 (Legend Cars),PP 386.73
Peugeot205 Turbo 16 Evolution 2 '86 ,1000000 (Legend Cars),PP 678.46
Peugeot208 GTi by Peugeot Sport '14 ,30000 (Brand Central),PP 451.9
Ferrari250 GT Berlinetta passo corto '61 ,8200000 (Legend Cars),PP 464.49
Ferrari250 GTO '62 ,20000000 (Legend Cars),PP 524.46
Chaparral2J '70 ,2500000 (Legend Cars),PP 874.74
BMW3.0 CSL '71 ,136700 (Used Cars),PP 399.31
BMW3.0 CSL '73 ,250000 (Used Cars),PP 408.68
AMG300 SEL 6.8 AMG '71 ,550000 (Legend Cars),PP 510.87
Mercedes-Benz300 SL (W194) '52 ,11000000 (Legend Cars),PP 427.27
Mercedes-Benz300 SL Coupé '54 ,1100000 (Legend Cars),PP 402.07
Ferrari308 GTB '75 ,165700 (Used Cars),PP 471.89
Ferrari330 P4 '67 ,9000000 (Legend Cars),PP 732.33
Porsche356 A/1500 GS Carrera '56 ,615000 (Legend Cars),-
Porsche356 A/1500 GS GT Carrera Speedster '56 ,1500000 (Legend Cars),-
Ferrari365 GTB4 '71 ,555000 (Legend Cars),PP 537
Nissan400R '95 ,0 (),PP 543.78
Ferrari458 Italia '09 ,244900 (Used Cars),PP 614.56
Ferrari458 Italia GT3 '13 ,450000 (Brand Central),PP 739.7
Ferrari458 Italia Gr.4 ,350000 (Brand Central),PP 636.35
Alfa Romeo4C '14 ,89100 (Brand Central),PP 527.01
Alfa Romeo4C Gr.3 ,450000 (Brand Central),PP 720.12
Alfa Romeo4C Gr.3 Road Car ,300000 (Brand Central),PP 571.92
Alfa Romeo4C Gr.4 ,350000 (Brand Central),PP 620.27
Fiat500 1.2 8V Lounge SS '08 ,13800 (Used Cars),PP 274.82
Fiat500 F '68 ,15200 (Used Cars),PP 81.18
Ferrari500 Mondial Pinin Farina Coupe '54 ,4000000 (Legend Cars),-
Ferrari512 BB '76 ,284500 (Used Cars),PP 519.02
McLaren650S '14 ,340000 (Brand Central),PP 629.52
McLaren650S GT3 '15 ,450000 (Brand Central),PP 722.6
McLaren650S Gr.4 ,350000 (Brand Central),PP 638.89
Mazda787B '91 ,1875000 (Legend Cars),PP 877.38
Toyota86 GRMN '16 ,64800 (Brand Central),PP 463.69
Toyota86 GT '15 ,29052 (Brand Central),PP 438.72
"Toyota86 GT""Limited"" '16 ",31840 (Brand Central),PP 441.55
Toyota86 Gr.4 ,350000 (Brand Central),PP 637.79
Toyota86 Gr.B Rally Car ,450000 (Brand Central),PP 663.16
Alfa Romeo8C 2900B Touring Berlinetta '38 ,20000000 (Legend Cars),PP 377.04
Alfa Romeo8C Competizione '08 ,314100 (Used Cars),PP 558.52
Peugeot908 HDi FAP '10 ,1000000 (Brand Central),PP 928.93
Porsche911 Carrera RS (901) '73 ,0 (),PP 487.09
Porsche911 Carrera RS (964) '92 ,220700 (Used Cars),PP 514.86
Porsche911 Carrera RS (993) '95 ,215200 (Used Cars),PP 530.44
Porsche911 Carrera RS CS (993) '95 ,411300 (Used Cars),PP 528.78
Porsche911 GT1 Strassenversion '97 ,3000000 (Legend Cars),-
Porsche911 GT3 (996) '01 ,155600 (Used Cars),PP 551.66
Porsche911 GT3 (997) '09 ,138000 (Used Cars),PP 579.76
Porsche911 GT3 RS (991) '16 ,253000 (Brand Central),PP 633.12
Porsche911 GT3 RS (992) '22 ,340000 (Brand Central),PP 656.54
Porsche911 RSR (991) '17 ,450000 (Brand Central),PP 726.54
Porsche911 Turbo (930) '81 ,218100 (Used Cars),PP 494.43
Porsche917 LIVING LEGEND ,1000000 (Brand Central),PP 818.02
Porsche917K '70 ,18000000 (Legend Cars),-
Porsche918 Spyder '13 ,1600000 (Brand Central),PP 664.21
Porsche919 Hybrid '16 ,3000000 (Brand Central),PP 936.52
Porsche959 '87 ,0 (),PP 557.43
Porsche962 C '88 ,1500000 (Legend Cars),PP 877.36
AMGA 45 AMG '13 ,64000 (Brand Central),PP 518.95
AlpineA110 '17 ,80000 (Brand Central),PP 522.71
AlpineA110 '72 ,132900 (Used Cars),PP 405.77
AutobianchiA112 Abarth '85 ,33000 (Used Cars),PP 299.78
AlpineA220 Race Car '68 ,300000 (Legend Cars),PP 605
MaseratiA6GCS/53 Spyder '54 ,2900000 (Legend Cars),PP 502.08
AbarthAbarth 500 '09 ,23300 (Used Cars),PP 391.21
AbarthAbarth 595 SS '70 ,48900 (Used Cars),PP 185.15
ToyotaAlphard Executive Lounge '18 ,75000 (Brand Central),PP 394.88
AlpineAlpine VGT ,1000000 (Brand Central),PP 657.05
